sku,name,size,a_color,b_color,c_color,d_unused,qty
410102030001,La Rosa,S,black,red,TQ,,2
410102020001,La Rosa,S,black,red,red,,2
410103030001,La Rosa,S,black,TQ,TQ,,2
270203000001,El Corazon,S,red,TQ,,,4
410203030001,La Rosa,S,red,TQ,TQ,,1
350203000001,La Estrella,S,red,TQ,,,4
350202000001,La Estrella,S,red,red,,,1
270103000001,El Corazon,S,black,TQ,,,2
270302000001,El Corazon,S,TQ,red,,,4
060102050001,La Sirena,S,black,red,green,,3
060102020001,La Sirena,S,black,red,red,,1
060204030001,La Sirena,S,red,yellow,TQ,,1
220102020001,La Bota,S,black,red,red,,2
220103030001,La Bota,S,black,TQ,TQ,,4
420103030001,La Calavera,S,black,TQ,TQ,,2
420105050001,La Calavera,S,black,green,green,,2
420102020001,La Calavera,S,black,red,red,,3
060102050003,La Sirena,L,black,red,green,,1
060103030002,La Sirena,M,black,TQ,TQ,,1
060104050002,La Sirena,M,black,yellow,green,,1
210102020002,La Mano,M,black,red,red,,1
210203030002,La Mano,M,red,TQ,TQ,,1
420103030002,La Calavera,M,black,TQ,TQ,,3
420102020002,La Calavera,M,black,red,red,,2
220102020002,La Bota,M,black,red,red,,2
360102020002,El Pulpo,M,black,red,red,,1
360302020002,El Pulpo,M,TQ,red,red,,2
360103030003,El Pulpo,L,black,TQ,TQ,,3
360102020003,El Pulpo,L,black,red,red,,1
270102000003,El Corazon,L,black,red,,,1
270102000002,El Corazon,M,black,red,,,2
270103000002,El Corazon,M,black,TQ,,,2
270203000002,El Corazon,M,red,TQ,,,1
270302000002,El Corazon,M,TQ,red,,,4
270102000001,El Corazon,S,black,red,,,6
030102000002,La Dama,M,black,red,,,1
360302020001,El Pulpo,S,TQ,red,red,,1
